# 3D Systems, Inc.
# New Model
-0.1447292 0.1808083 0.8727492
-0.1449203 0.1840108 0.8726557
-0.1449710 0.1846352 0.8726516
-0.1450170 0.1852549 0.8726490
-0.1450633 0.1858751 0.8726558
-0.1450995 0.1864884 0.8726520
-0.1451266 0.1870923 0.8726488
-0.1451464 0.1877046 0.8726512
-0.1451658 0.1883191 0.8726691
-0.1451872 0.1889340 0.8726920
-0.1452083 0.1895428 0.8727254
-0.1452275 0.1901452 0.8727566
-0.1452456 0.1907534 0.8727987
-0.1452651 0.1913583 0.8728417
-0.1443203 0.1739149 0.8738900
-0.1446722 0.1791127 0.8728502
-0.1446839 0.1797326 0.8728048
-0.1446735 0.1816012 0.8726901
-0.1446537 0.1822348 0.8726714
-0.1446333 0.1828637 0.8726685
-0.1446110 0.1834881 0.8726639
-0.1438905 0.1745535 0.8735829
-0.1439094 0.1750474 0.8734481
-0.1439444 0.1755076 0.8732839
-0.1439819 0.1759903 0.8731273
-0.1440064 0.1765111 0.8730267
-0.1440298 0.1770793 0.8729457
-0.1440588 0.1776634 0.8728705
-0.1440838 0.1782650 0.8728140
-0.1441570 0.1801375 0.8726748
-0.1441751 0.1807698 0.8726557
-0.1443288 0.1839630 0.8726559
-0.1443754 0.1845920 0.8726579
-0.1444194 0.1852155 0.8726772
-0.1444641 0.1858400 0.8726965
-0.1445039 0.1864580 0.8727104
-0.1445349 0.1870702 0.8727310
-0.1445627 0.1876846 0.8727561
-0.1445920 0.1882964 0.8727895
-0.1446210 0.1889123 0.8728233
-0.1446488 0.1895188 0.8728645
-0.1446740 0.1901141 0.8729035
-0.1446966 0.1907207 0.8729539
-0.1447190 0.1913252 0.8730053
-0.1437305 0.1738853 0.8737992
-0.1433353 0.1745601 0.8734822
-0.1433597 0.1750528 0.8733503
-0.1433969 0.1755208 0.8731683
-0.1434379 0.1760063 0.8730149
-0.1434654 0.1765241 0.8729132
-0.1434887 0.1770897 0.8728311
-0.1435179 0.1776711 0.8727569
-0.1435422 0.1782724 0.8727053
-0.1435727 0.1788793 0.8726410
-0.1435901 0.1795021 0.8726061
-0.1436019 0.1801240 0.8725897
-0.1436141 0.1807479 0.8725829
-0.1436278 0.1813719 0.8725817
-0.1436401 0.1820065 0.8725937
-0.1436689 0.1826443 0.8725921
-0.1436980 0.1832821 0.8726313
-0.1437323 0.1839154 0.8726617
-0.1437758 0.1845446 0.8726841
-0.1438205 0.1851703 0.8727239
-0.1438664 0.1857974 0.8727593
-0.1439112 0.1864179 0.8727890
-0.1439458 0.1870389 0.8728263
-0.1439825 0.1876556 0.8728696
-0.1440206 0.1882678 0.8729142
-0.1440602 0.1888852 0.8729631
-0.1440955 0.1894913 0.8730109
-0.1441240 0.1900821 0.8730584
-0.1441512 0.1906869 0.8731170
-0.1441779 0.1912905 0.8731737
-0.1432819 0.1866552 0.8729348
-0.1432915 0.1872832 0.8729963
-0.1433062 0.1879095 0.8730575
-0.1433238 0.1885339 0.8731226
-0.1433473 0.1891552 0.8731835
-0.1433760 0.1897741 0.8732492
-0.1434093 0.1903917 0.8733181
-0.1427757 0.1741219 0.8735508
-0.1427835 0.1745670 0.8734054
-0.1430436 0.1807383 0.8725271
-0.1430515 0.1813557 0.8725412
-0.1430588 0.1819827 0.8725712
-0.1430803 0.1826136 0.8725964
-0.1431061 0.1832414 0.8726358
-0.1431349 0.1838665 0.8726863
-0.1431742 0.1844915 0.8727287
-0.1432200 0.1851146 0.8727870
-0.1432683 0.1857411 0.8728361
-0.1436125 0.1906538 0.8732833
-0.1436441 0.1912577 0.8733473
-0.1423211 0.1751877 0.8731430
-0.1423440 0.1756211 0.8729736
-0.1423801 0.1760706 0.8728436
-0.1424133 0.1764850 0.8727660
-0.1424337 0.1769764 0.8726851
-0.1424609 0.1774853 0.8726041
-0.1424894 0.1780460 0.8725592
-0.1425196 0.1786290 0.8725269
-0.1425518 0.1792157 0.8725003
-0.1425834 0.1798275 0.8724989
-0.1426600 0.1854111 0.8729152
-0.1426644 0.1860300 0.8729887
-0.1426757 0.1866522 0.8730567
-0.1426962 0.1872743 0.8731313
-0.1427220 0.1878949 0.8732045
-0.1427517 0.1885126 0.8732816
-0.1427847 0.1891312 0.8733488
-0.1428218 0.1897488 0.8734183
-0.1428577 0.1903640 0.8734885
-0.1428933 0.1909766 0.8735646
-0.1429291 0.1915886 0.8736396
-0.1422047 0.1741297 0.8734905
-0.1422127 0.1745714 0.8733398
-0.1424519 0.1807365 0.8724985
-0.1424579 0.1813477 0.8725328
-0.1424644 0.1819657 0.8725773
-0.1424787 0.1825907 0.8726125
-0.1425030 0.1832120 0.8726724
-0.1425309 0.1838297 0.8727398
-0.1425712 0.1844480 0.8728066
-0.1418120 0.1752258 0.8730897
-0.1418349 0.1756543 0.8729279
-0.1418690 0.1760914 0.8727977
-0.1419042 0.1764973 0.8726987
-0.1419275 0.1769727 0.8726180
-0.1419551 0.1774691 0.8725340
-0.1419845 0.1780284 0.8724985
-0.1420123 0.1786054 0.8724708
-0.1420398 0.1791874 0.8724489
-0.1420665 0.1797895 0.8724524
-0.1420434 0.1854040 0.8730104
-0.1420576 0.1860185 0.8730935
-0.1420798 0.1866355 0.8731779
-0.1421108 0.1872521 0.8732653
-0.1421469 0.1878676 0.8733504
-0.1421860 0.1884814 0.8734289
-0.1422273 0.1890992 0.8735011
-0.1422709 0.1897177 0.8735684
-0.1423127 0.1903290 0.8736482
-0.1423537 0.1909387 0.8737304
-0.1423957 0.1915484 0.8738121
-0.1416609 0.1741481 0.8734580
-0.1418635 0.1807328 0.8724982
-0.1418699 0.1813367 0.8725520
-0.1418758 0.1819486 0.8725977
-0.1418895 0.1825635 0.8726455
-0.1419138 0.1831765 0.8727185
-0.1419426 0.1837914 0.8727961
-0.1419839 0.1844046 0.8728773
-0.1413306 0.1752504 0.8730322
-0.1413479 0.1756736 0.8728701
-0.1413823 0.1761037 0.8727381
-0.1415068 0.1785966 0.8724312
-0.1415324 0.1791725 0.8724116
-0.1415561 0.1797611 0.8724261
-0.1414413 0.1888289 0.8736807
-0.1414701 0.1894392 0.8737680
-0.1415070 0.1900475 0.8738581
-0.1415484 0.1906615 0.8739492
-0.1415906 0.1912757 0.8740408
-0.1416337 0.1918910 0.8741298
-0.1410497 0.1765395 0.8726157
-0.1410732 0.1768953 0.8725824
-0.1411074 0.1772903 0.8725144
-0.1411197 0.1777890 0.8724633
-0.1414323 0.1853887 0.8730967
-0.1414567 0.1859979 0.8731956
-0.1414889 0.1866091 0.8732943
-0.1415278 0.1872191 0.8733900
-0.1415729 0.1878294 0.8734864
-0.1411160 0.1741654 0.8734280
-0.1412745 0.1813233 0.8725659
-0.1412789 0.1819306 0.8726244
-0.1412932 0.1825353 0.8726917
-0.1413215 0.1831400 0.8727742
-0.1413500 0.1837527 0.8728590
-0.1413872 0.1843662 0.8729459
-0.1407007 0.1897926 0.8740772
-0.1407339 0.1904025 0.8741793
-0.1407709 0.1910102 0.8742809
-0.1410147 0.1791532 0.8724175
-0.1410358 0.1797336 0.8724345
-0.1410672 0.1803178 0.8724770
-0.1408163 0.1875912 0.8736417
-0.1408438 0.1881963 0.8737448
-0.1408770 0.1888003 0.8738462
-0.1410497 0.1912410 0.8742234
-0.1410984 0.1918561 0.8743164
-0.1406318 0.1761218 0.8727309
-0.1406431 0.1765752 0.8726084
-0.1406749 0.1769239 0.8725629
-0.1407012 0.1773100 0.8724974
-0.1407009 0.1777891 0.8724604
-0.1407362 0.1783005 0.8724436
-0.1408109 0.1847566 0.8731287
-0.1408360 0.1853597 0.8732324
-0.1408686 0.1859652 0.8733325
-0.1409081 0.1865729 0.8734321
-0.1405738 0.1741886 0.8734220
-0.1406803 0.1813088 0.8725941
-0.1406918 0.1819050 0.8726697
-0.1407115 0.1824997 0.8727451
-0.1407371 0.1831012 0.8728335
-0.1407718 0.1837095 0.8729336
-0.1401434 0.1897734 0.8742552
-0.1401817 0.1903764 0.8743623
-0.1402231 0.1909796 0.8744678
-0.1404828 0.1791316 0.8724342
-0.1404985 0.1797036 0.8724553
-0.1405221 0.1802870 0.8724973
-0.1402376 0.1875613 0.8737979
-0.1402742 0.1881633 0.8739069
-0.1403142 0.1887658 0.8740098
-0.1405122 0.1912018 0.8744065
-0.1405673 0.1918167 0.8745042
-0.1402035 0.1761540 0.8727282
-0.1402152 0.1765986 0.8726335
-0.1402565 0.1769344 0.8725877
-0.1402850 0.1773108 0.8725195
-0.1402850 0.1777629 0.8724764
-0.1403104 0.1782605 0.8724521
-0.1402129 0.1847212 0.8732358
-0.1402494 0.1853208 0.8733464
-0.1402914 0.1859248 0.8734577
-0.1403379 0.1865294 0.8735666
-0.1400453 0.1742128 0.8734298
-0.1400972 0.1812793 0.8726439
-0.1401173 0.1818715 0.8727249
-0.1401442 0.1824636 0.8728124
-0.1401787 0.1830630 0.8729085
-0.1402241 0.1836659 0.8730326
-0.1395075 0.1879475 0.8741007
